title,platform,type,date_added,release_year,genres,minutes,seasons
Shikara,Netflix,Movie,2021-09-02,2020.0,"['Dramas', 'International Movies', 'Romantic Movies']",115,
A Cinderella Story,Netflix,Movie,2021-09-01,2004.0,"['Children & Family Movies', 'Comedies']",95,
Agatha Christie's Crooked House,Netflix,Movie,2021-09-01,2017.0,"['Dramas', 'International Movies', 'Thrillers']",115,
An Unfinished Life,Netflix,Movie,2021-09-01,2005.0,['Dramas'],108,
Barbie Big City Big Dreams,Netflix,Movie,2021-09-01,2021.0,"['Children & Family Movies', 'Music & Musicals']",63,
Blade Runner: The Final Cut,Netflix,Movie,2021-09-01,1982.0,"['Action & Adventure', 'Classic Movies', 'Cult Movies']",117,
Brave Animated Series,Netflix,TV Show,2021-09-01,2021.0,"['International TV Shows', 'TV Action & Adventure', 'TV Comedies']",,
Chappie,Netflix,Movie,2021-09-01,2015.0,"['Action & Adventure', 'Sci-Fi & Fantasy']",121,
Clear and Present Danger,Netflix,Movie,2021-09-01,1994.0,"['Action & Adventure', 'Dramas']",142,
Cliffhanger,Netflix,Movie,2021-09-01,1993.0,['Action & Adventure'],113,
Cold Mountain,Netflix,Movie,2021-09-01,2003.0,"['Dramas', 'Romantic Movies']",154,
Crocodile Dundee in Los Angeles,Netflix,Movie,2021-09-01,2001.0,"['Action & Adventure', 'Comedies']",95,
Dear John,Netflix,Movie,2021-09-01,2010.0,"['Dramas', 'Romantic Movies']",108,
Do the Right Thing,both,Movie,2021-09-01,1989.0,"['Classic Movies', 'Comedies', 'Dramas']",120,
"El patrón, radiografía de un crimen",Netflix,Movie,2021-09-01,2014.0,"['Dramas', 'International Movies', 'Thrillers']",100,
Extraction,Netflix,Movie,2021-09-01,2015.0,['Action & Adventure'],82,
Freedom Writers,Netflix,Movie,2021-09-01,2007.0,['Dramas'],124,
Green Lantern,Netflix,Movie,2021-09-01,2011.0,"['Action & Adventure', 'Sci-Fi & Fantasy']",114,
House Party,Netflix,Movie,2021-09-01,1990.0,"['Comedies', 'Cult Movies']",104,
House Party 2,Netflix,Movie,2021-09-01,1991.0,"['Comedies', 'Cult Movies', 'Music & Musicals']",94,
House Party 3,Netflix,Movie,2021-09-01,1994.0,"['Comedies', 'Music & Musicals']",94,
How to Be a Cowboy,Netflix,TV Show,2021-09-01,2021.0,['Reality TV'],,
HQ Barbers,Netflix,TV Show,2021-09-01,2020.0,['TV Shows'],,
I Got the Hook Up,Netflix,Movie,2021-09-01,1998.0,"['Action & Adventure', 'Comedies']",93,
In Too Deep,Netflix,Movie,2021-09-01,1999.0,['Thrillers'],97,
Initial D,Netflix,Movie,2021-09-01,2005.0,"['Action & Adventure', 'International Movies']",109,
Janoskians: Untold and Untrue,Netflix,Movie,2021-09-01,2016.0,['Comedies'],88,
Kid-E-Cats,Netflix,TV Show,2021-09-01,2016.0,"[""Kids' TV""]",,2
Kuroko's Basketball,Netflix,TV Show,2021-09-01,2015.0,"['Anime Series', 'International TV Shows', 'Teen TV Shows']",,3
Labyrinth,both,Movie,2021-09-01,1986.0,"['Action & Adventure', 'Children & Family Movies', 'Cult Movies']",101,
Letters to Juliet,Netflix,Movie,2021-09-01,2010.0,"['Comedies', 'Dramas', 'Romantic Movies']",105,
Level 16,Netflix,Movie,2021-09-01,2018.0,"['Sci-Fi & Fantasy', 'Thrillers']",102,
Love Don't Cost a Thing,Netflix,Movie,2021-09-01,2003.0,"['Comedies', 'Romantic Movies']",101,
Love in a Puff,Netflix,Movie,2021-09-01,2010.0,"['Comedies', 'Dramas', 'International Movies']",103,
Major Dad,Netflix,TV Show,2021-09-01,1992.0,['TV Comedies'],,4
Mars Attacks!,Netflix,Movie,2021-09-01,1996.0,"['Comedies', 'Cult Movies', 'Sci-Fi & Fantasy']",106,
Marshall,Netflix,Movie,2021-09-01,2017.0,['Dramas'],118,
